1	N
3	N
5	N
6	N
11	V
12	A
13	A
14	N
15	N
16	N
17	N
18	N
20	N
21	N
22	N
24	N
25	N
27	N
28	N
29	N
30	N
31	N
32	N
34	N
35	N
36	N
37	N
39	N
40	N
42	V
43	V
44	V
45	V
48	N
49	V
52	V
53	A
54	N
55	N
56	A
57	N
58	N
59	N
60	N
61	N
62	N
64	V
65	A
66	N
67	V
68	N
70	N
71	N
72	A
73	N
76	N
77	A
82	A
84	V
85	A
86	N
87	A
88	A
89	A
90	A
91	A
92	A
93	A
94	A
96	A
98	N
99	A
100	A
105	A
107	N
108	N
109	N
110	N
111	N
112	A
113	N
114	A
115	N
116	A
117	N
120	N
122	N
123	A
124	A
125	V
126	N
127	N
129	N
132	A
133	A
134	A
136	A
138	A
139	N
140	N
141	A
142	A
143	N
144	A
145	A
146	A
147	V
148	N
149	N
150	N
152	V
154	A
155	A
156	A
157	A
158	N
159	A
160	A
163	A
164	A
166	N
167	N
168	N
169	A
170	N
171	N
172	A
173	N
174	N
175	A
177	N
178	A
179	A
180	A
183	N
185	N
186	N
187	N
188	V
189	V
190	V
191	V
192	V
193	N
194	V
195	N
196	A
197	V
198	A
199	V
201	N
202	V
203	N
204	A
205	N
207	N
208	V
209	V
210	N
211	N
212	A
213	V
214	V
215	V
216	V
217	V
218	V
219	V
220	V
221	V
224	N
225	V
226	V
227	V
228	V
230	N
231	V
232	N
233	V
234	N
237	N
238	N
239	N
240	N
241	V
244	N
245	A
246	N
247	V
248	V
249	V
250	N
251	V
252	A
253	V
254	N
255	V
256	V
257	A
259	N
260	N
261	A
267	A
270	V
272	N
273	N
274	N
275	V
276	N
277	V
278	N
280	N
282	N
283	N
285	N
286	V
287	V
288	V
289	N
290	V
291	V
292	V
293	V
295	V
296	V
297	N
298	N
300	N
301	N
302	N
304	A
305	V
306	A
307	A
309	A
311	N
312	A
316	A
317	A
318	A
319	V
320	V
321	A
322	N
323	N
324	V
325	N
326	N
327	N
328	V
329	V
330	V
331	V
332	N
333	V
334	V
335	A
336	N
337	N
338	N
339	N
340	N
341	N
343	N
344	N
346	N
347	N
348	N
349	N
350	V
351	N
352	N
353	A
354	N
355	N
356	V
357	V
358	V
359	V
360	V
361	V
362	V
363	N
364	N
365	N
366	N
367	N
369	N
370	N
371	N
372	V
373	N
374	A
375	N
377	A
378	A
379	N
380	N
381	N
382	A
383	V
384	V
385	N
386	N
388	V
389	V
390	V
391	V
393	V
394	V
395	V
396	N
397	V
398	V
399	N
400	N
401	N
402	N
403	N
404	N
405	N
406	V
407	V
408	V
409	V
410	A
411	V
413	N
414	N
415	N
416	N
417	N
418	N
419	N
420	N
421	N
422	N
423	N
424	N
425	N
426	V
427	N
429	N
430	N
432	V
434	V
435	N
436	N
437	A
439	N
442	N
443	V
444	V
445	N
446	N
447	N
448	V
449	V
451	A
453	A
454	V
455	N
456	N
457	N
458	N
459	N
460	N
461	V
462	V
463	N
464	N
466	N
467	A
468	N
469	A
470	N
471	A
472	A
473	N
475	A
476	N
477	A
479	N
480	A
481	N
482	V
483	A
485	N
486	N
487	N
488	A
489	N
490	N
491	N
493	N
494	N
495	N
496	A
497	N
498	N
499	N
500	N
502	N
504	N
505	N
506	N
508	N
509	N
510	N
511	N
512	N
513	N
514	A
515	N
516	N
517	N
518	V
519	N
520	V
521	N
523	N
524	N
526	N
527	N
528	N
529	N
530	V
532	N
533	V
534	N
535	N
536	N
537	N
538	V
539	V
540	A
542	N
544	V
545	N
546	N
548	A
549	V
550	N
551	N
552	N
553	N
554	N
555	N
558	N
559	V
560	N
561	N
562	V
563	N
564	N
565	N
566	V
567	A
568	A
569	N
570	N
571	V
572	A
573	V
574	V
575	N
576	N
577	V
578	N
581	V
582	N
583	V
584	V
585	V
586	N
587	N
592	N
593	A
594	V
595	N
596	V
597	N
598	N
599	N
601	N
602	A
603	A
604	V
605	V
606	N
608	N
609	N
610	V
612	V
613	N
614	N
615	V
616	N
617	V
618	N
619	A
620	A
621	N
622	N
623	N
624	N
625	N
626	A
627	A
628	N
629	N
632	N
634	N
635	V
636	V
637	V
638	N
639	N
640	N
641	N
642	N
643	V
644	N
645	V
646	N
648	N
650	N
651	N
652	A
653	A
654	A
656	V
657	N
658	N
659	N
660	V
661	N
662	N
664	N
666	N
667	N
668	N
669	N
670	N
671	N
672	N
673	A
674	N
678	A
680	V
681	A
683	V
685	V
686	A
687	N
688	V
689	V
692	N
693	N
694	N
696	V
698	N
699	N
701	A
702	A
703	A
704	A
705	N
706	A
707	A
708	A
709	N
710	A
711	A
713	N
714	V
715	A
717	N
718	N
723	N
724	N
725	N
726	N
727	N
728	N
731	A
732	N
733	N
734	N
736	N
737	N
738	N
739	N
740	N
741	V
742	N
743	N
744	N
746	N
747	N
748	A
749	V
750	N
751	N
752	N
753	N
754	N
755	N
756	N
757	N
760	V
761	V
762	N
763	V
766	N
767	V
768	N
770	N
771	A
772	V
773	V
774	N
776	N
777	N
778	N
780	N
781	N
782	V
783	N
784	N
785	A
786	N
787	N
789	N
790	V
791	N
792	N
793	V
794	N
795	N
797	N
798	N
799	N
800	N
801	N
802	N
803	V
804	V
805	N
806	V
807	V
808	A
809	V
